"filename", "language", "C++", "Slang", "CMake", "comment", "blank", "total"
"/Users/nemesisverstraete/Desktop/Obsidium/CMakeLists.txt", "CMake", 0, 0, 98, 0, 13, 111
"/Users/nemesisverstraete/Desktop/Obsidium/include/Engine.h", "C++", 25, 0, 0, 3, 9, 37
"/Users/nemesisverstraete/Desktop/Obsidium/include/Obsidium.h", "C++", 3, 0, 0, 3, 2, 8
"/Users/nemesisverstraete/Desktop/Obsidium/include/assets/MeshManager.h", "C++", 31, 0, 0, 3, 15, 49
"/Users/nemesisverstraete/Desktop/Obsidium/include/assets/TextureManager.h", "C++", 20, 0, 0, 3, 10, 33
"/Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Buffer.h", "C++", 19, 0, 0, 3, 7, 29
"/Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Mesh.h", "C++", 31, 0, 0, 3, 14, 48
"/Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Model.h", "C++", 25, 0, 0, 3, 9, 37
"/Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Polygon.h", "C++", 18, 0, 0, 3, 7, 28
"/Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Renderer.h", "C++", 29, 0, 0, 4, 15, 48
"/Users/nemesisverstraete/Desktop/Obsidium/include/graphics/Texture.h", "C++", 32, 0, 0, 3, 12, 47
"/Users/nemesisverstraete/Desktop/Obsidium/include/utils/Hash.h", "C++", 21, 0, 0, 3, 6, 30
"/Users/nemesisverstraete/Desktop/Obsidium/include/window/Window.h", "C++", 38, 0, 0, 3, 14, 55
"/Users/nemesisverstraete/Desktop/Obsidium/include/world/EntityComponentManager.h", "C++", 30, 0, 0, 3, 13, 46
"/Users/nemesisverstraete/Desktop/Obsidium/include/world/SparseSet.h", "C++", 18, 0, 0, 4, 7, 29
"/Users/nemesisverstraete/Desktop/Obsidium/include/world/System.h", "C++", 15, 0, 0, 3, 6, 24
"/Users/nemesisverstraete/Desktop/Obsidium/include/world/World.h", "C++", 11, 0, 0, 3, 8, 22
"/Users/nemesisverstraete/Desktop/Obsidium/include/world/WorldManager.h", "C++", 9, 0, 0, 3, 5, 17
"/Users/nemesisverstraete/Desktop/Obsidium/include/world/scene/Camera.h", "C++", 23, 0, 0, 6, 12, 41
"/Users/nemesisverstraete/Desktop/Obsidium/include/world/scene/Components.h", "C++", 35, 0, 0, 3, 12, 50
